iter	RMSE
0	0.3836359545
1	0.3766650546
2	0.3698725638
3	0.3636717594
4	0.3572732189
5	0.3510379957
6	0.3453511605
7	0.3402492241
8	0.33470984
9	0.3290826228
10	0.3238975739
11	0.3185938087
12	0.3133234779
13	0.3089309073
14	0.3042975452
15	0.2996032041
16	0.2951515225
17	0.2906056203
18	0.2864524183
19	0.2826085425
20	0.2782350258
21	0.2742206253
22	0.2704616544
23	0.2664618687
24	0.262958041
25	0.2592196416
26	0.2556210158
27	0.2524205568
28	0.2496109208
29	0.2462195237
30	0.2431750699
31	0.2402293713
32	0.2373612646
33	0.2345118737
34	0.2316181905
35	0.2288896943
36	0.2261609775
37	0.2233956899
38	0.2206807241
39	0.2183287658
40	0.2157542369
41	0.2135047054
42	0.210957963
43	0.2085877026
44	0.2062412816
45	0.2041732198
46	0.2021673915
47	0.1998537499
48	0.1978437847
49	0.1958537912
50	0.1941132619
51	0.1922419978
52	0.1903947904
53	0.1887867488
54	0.1871812764
55	0.1855618803
56	0.1837735556
57	0.1821763775
58	0.1806536602
59	0.1791063081
60	0.1777991233
61	0.1766229535
62	0.1751486498
63	0.1736494276
64	0.1725119164
65	0.1712365138
66	0.1700939731
67	0.1688927366
68	0.1677950948
69	0.1666992705
70	0.1655697159
71	0.1644124045
72	0.1633286297
73	0.1623013106
74	0.1613079571
75	0.160279364
76	0.1593648627
77	0.1584938734
78	0.1576708516
79	0.1568617897
80	0.1560923386
81	0.1553789464
82	0.1545999313
83	0.1538409999
84	0.153024988
85	0.1523360414
86	0.1516263939
87	0.1509781889
88	0.1503060363
89	0.1497083377
90	0.1491132148
91	0.1484929359
92	0.147938061
93	0.1474046639
94	0.1468716222
95	0.1463278495
96	0.1457867482
97	0.1452656643
98	0.1447335707
99	0.1442968996
100	0.1437987421
101	0.1433372191
102	0.1428760011
103	0.1425039824
104	0.142132581
105	0.1417581724
106	0.141385479
107	0.1409808683
108	0.1405734747
109	0.1402186354
110	0.1399321197
111	0.1395558406
112	0.1391906153
113	0.1388118886
114	0.1383814283
115	0.1379564079
116	0.1376051198
117	0.137225972
118	0.13686364
119	0.1364746198
120	0.1361291999
121	0.1357876477
122	0.1354803126
123	0.1351772149
124	0.1349604911
125	0.1346168861
126	0.1343232889
127	0.1340157518
128	0.133782289
129	0.1335499739
130	0.1332712989
131	0.133031121
132	0.1328001247
133	0.1325985661
134	0.1322253883
135	0.1318818485
136	0.1316873658
137	0.1314151253
138	0.1312304591
139	0.1310461842
140	0.1308706086
141	0.1306003304
142	0.1304735768
143	0.1303237059
144	0.1300873023
145	0.1298654538
146	0.129638038
147	0.1294823376
148	0.1293395379
149	0.1291849731
150	0.1290631788
151	0.1288378449
152	0.128710364
153	0.128469186
154	0.1283155193
155	0.1281138662
156	0.1279859606
157	0.1277459195
158	0.1276077784
159	0.1275009215
160	0.1273533066
161	0.1271267501
162	0.1269548556
163	0.1267898726
164	0.1266090615
165	0.1264990188
166	0.1262159211
167	0.1261248918
168	0.1258954416
169	0.1257904392
170	0.1256488829
171	0.125436862
172	0.1252397447
173	0.1250706179
174	0.1248244345
175	0.1247028376
176	0.1246343925
177	0.1245037744
178	0.1244171802
179	0.1242954956
180	0.1242307651
181	0.1240547744
182	0.1239092565
183	0.1237926108
184	0.123674073
185	0.1236177894
186	0.1235516398
187	0.1234495637
188	0.1233303268
189	0.1232283675
190	0.122969576
191	0.1228724196
192	0.1226851614
193	0.1226381486
194	0.1224647414
195	0.1222928936
196	0.122112644
197	0.122013833
198	0.1219047042
199	0.1217623971
200	0.121642218
201	0.1215993797
202	0.1214925831
203	0.1213786191
204	0.1213023822
205	0.1212014399
206	0.1211020118
207	0.1210133188
208	0.1208541008
209	0.1208289408
210	0.120725222
211	0.1205367139
212	0.1204441979
213	0.1203150171
214	0.120218575
215	0.1201198396
216	0.120086736
217	0.1199591925
218	0.1198533815
219	0.1198077
220	0.1197280609
221	0.1196462031
222	0.1195905057
223	0.1195007316
224	0.1194406829
225	0.119361611
226	0.1192744467
227	0.1192192898
228	0.1190786555
229	0.1189615297
230	0.1188095466
231	0.1187117803
232	0.1186179189
233	0.1184684138
234	0.1183248538
235	0.1182164509
236	0.1181549633
237	0.1180768867
238	0.1179619895
239	0.1178866838
240	0.1178014603
241	0.1177659317
242	0.1177066439
243	0.1175689357
244	0.117517997
245	0.1174782511
246	0.1174292385
247	0.1173956833
248	0.1172610091
249	0.1171750403
250	0.1171339549
251	0.1170956615
252	0.116992375
253	0.1169010222
254	0.1167942091
255	0.1167357778
256	0.1166669009
257	0.1165668349
258	0.1164146432
259	0.1163407711
260	0.1162695603
261	0.1162469237
262	0.1161457124
263	0.1160759088
264	0.1159678361
265	0.1158787156
266	0.115837707
267	0.1157183737
268	0.1156333248
269	0.1155106759
270	0.1154082042
271	0.1153901095
272	0.1153226897
273	0.1152422061
274	0.1151028713
275	0.1150441999
276	0.1149812431
277	0.1149427777
278	0.1148832028
279	0.1147568229
280	0.1146521946
281	0.1145819317
282	0.114556386
283	0.1144693005
284	0.1144433834
285	0.1143880227
286	0.1143073719
287	0.1142373123
288	0.1141889345
289	0.1141437085
290	0.1140944135
291	0.1140134272
292	0.1139783657
293	0.1138925029
294	0.1138094925
295	0.1137348939
296	0.1136832571
297	0.1135763193
298	0.1134827604
299	0.113407437
300	0.1133151045
301	0.1132345845
302	0.1131969396
303	0.1131503661
304	0.1131249692
305	0.1130635241
306	0.1129822229
307	0.1129036191
308	0.1128407304
309	0.1127376127
310	0.1126583749
311	0.1126393764
312	0.1125610423
313	0.1124636867
314	0.1123867234
315	0.1123132347
316	0.112203418
317	0.1120944861
318	0.112013472
319	0.1118991365
320	0.111802947
321	0.1117236152
322	0.1116552438
323	0.1116052164
324	0.1115389065
325	0.1114769411
326	0.1114419101
327	0.111391292
328	0.1113739708
329	0.1112793984
330	0.1112404259
331	0.1111624513
332	0.111151634
333	0.1110732547
334	0.1110366548
335	0.1109853603
336	0.1109383492
337	0.1108328969
338	0.1107766755
339	0.1107645309
340	0.1107068873
341	0.1106294717
342	0.1105317083
343	0.1105118947
344	0.1104426842
345	0.1103905674
346	0.1103760172
347	0.1103291559
348	0.1102440526
349	0.1101689112
350	0.1100918944
351	0.1100346106
352	0.1099432936
353	0.1099072616
354	0.1098891624
355	0.1098620827
356	0.1098037287
357	0.1097973552
358	0.1097867587
359	0.1097743614
360	0.1097327642
361	0.1097167771
362	0.1096676795
363	0.1096050092
364	0.1095547856
365	0.1095477096
366	0.1095203141
367	0.1095077326
368	0.1094668624
369	0.109440772
370	0.1093807894
371	0.1093495024
372	0.1092982844
373	0.109266715
374	0.1092566947
375	0.1092109783
376	0.1091558535
377	0.109123681
378	0.1090341012
379	0.1089729364
380	0.1089352383
381	0.1088889847
382	0.1087979345
383	0.108724529
384	0.1086464997
385	0.1086386179
386	0.1085745954
387	0.1085695443
388	0.1085229573
389	0.1084390956
390	0.1084344733
391	0.1083865863
392	0.1083239178
393	0.1083168555
394	0.1081897658
395	0.1081664452
396	0.1081054509
397	0.1080224713
398	0.1079747501
399	0.1078943718
400	0.1078421627
401	0.1078346548
402	0.1077969617
403	0.1077929899
404	0.107720969
405	0.1077125472
406	0.1077035942
407	0.1076964364
408	0.1076786911
409	0.107597939
410	0.1075480431
411	0.107513687
412	0.1074422636
413	0.1073923091
414	0.1073879463
415	0.1073370487
416	0.1072645823
417	0.1072169687
418	0.1071751433
419	0.1070626111
420	0.1070559504
421	0.1070183299
422	0.1069594765
423	0.1069038545
424	0.1068485021
425	0.1068253124
426	0.106780448
427	0.1067170413
428	0.1066238017
429	0.1065606446
430	0.1064546596
431	0.1064157133
432	0.1063591411
433	0.1062821378
434	0.1062749288
435	0.1062611935
436	0.1062130734
437	0.1061478573
438	0.106125593
439	0.1060864814
440	0.1060815136
441	0.106052711
442	0.1060031349
443	0.1059430084
444	0.1059363602
445	0.1059255603
446	0.1058565826
447	0.105827726
448	0.1058194699
449	0.1058072574
450	0.1058025736
451	0.1057444895
452	0.1056594673
453	0.1056088597
454	0.1055561503
455	0.1055508228
456	0.1054914185
457	0.1054722742
458	0.10538637
459	0.1053736869
