iter	Passed	Remaining
0	15	26725
1	20	17175
2	24	13750
3	39	16683
4	43	14822
5	49	14071
6	52	12638
7	57	12110
8	59	11171
9	61	10405
10	64	9919
11	69	9704
12	71	9259
13	76	9167
14	79	8870
15	81	8575
16	84	8343
17	89	8362
18	94	8386
19	96	8126
20	99	7950
21	103	7866
22	105	7651
23	107	7518
24	109	7351
25	111	7166
26	113	7016
27	118	7073
28	128	7374
29	135	7524
30	141	7626
31	148	7711
32	150	7587
33	152	7469
34	156	7418
35	157	7293
36	159	7156
37	160	7031
38	162	6921
39	164	6816
40	165	6704
41	167	6626
42	169	6541
43	171	6467
44	173	6381
45	175	6294
46	177	6243
47	179	6180
48	182	6133
49	186	6143
50	188	6092
51	190	6031
52	192	5974
53	194	5932
54	197	5894
55	199	5849
56	201	5816
57	203	5760
58	205	5702
59	206	5647
60	208	5595
61	210	5559
62	212	5513
63	214	5482
64	216	5443
65	218	5408
66	221	5395
67	223	5357
68	225	5321
69	227	5291
70	229	5258
71	231	5233
72	234	5216
73	236	5200
74	238	5172
75	240	5132
76	242	5101
77	244	5082
78	246	5057
79	248	5023
80	250	4995
81	252	4972
82	253	4941
83	260	5016
84	266	5052
85	268	5037
86	270	5007
87	271	4978
88	273	4947
89	274	4911
90	275	4875
91	278	4856
92	279	4831
93	282	4822
94	284	4807
95	286	4780
96	287	4749
97	289	4722
98	291	4703
99	292	4682
100	294	4657
101	296	4641
102	298	4623
103	300	4603
104	301	4581
105	304	4576
106	306	4554
107	308	4548
108	311	4538
109	313	4530
110	316	4533
111	319	4524
112	322	4525
113	327	4549
114	330	4549
115	332	4532
116	334	4521
117	336	4507
118	338	4497
119	341	4489
120	342	4472
121	345	4463
122	346	4443
123	348	4432
124	350	4416
125	352	4401
126	354	4382
127	356	4372
128	358	4357
129	360	4346
130	361	4332
131	363	4313
132	365	4298
133	366	4277
134	368	4265
135	369	4249
136	371	4235
137	373	4220
138	376	4227
139	378	4218
140	382	4222
141	384	4210
142	386	4205
143	387	4188
144	389	4177
145	391	4164
146	393	4154
147	394	4139
148	397	4131
149	399	4120
150	400	4108
151	404	4116
152	406	4107
153	409	4106
154	412	4112
155	414	4100
156	417	4097
157	419	4090
158	423	4099
159	426	4099
160	428	4090
161	430	4081
162	432	4071
163	434	4063
164	435	4049
165	437	4044
166	439	4031
167	441	4021
168	443	4019
169	445	4005
170	446	3992
171	448	3982
172	450	3977
173	452	3965
174	454	3955
175	455	3943
176	458	3942
177	460	3931
178	462	3928
179	464	3919
180	465	3904
181	467	3893
182	469	3886
183	473	3894
184	475	3895
185	480	3910
186	483	3910
187	485	3900
188	486	3888
189	488	3880
190	490	3871
191	493	3870
192	494	3861
193	503	3904
194	510	3936
195	520	3990
196	528	4030
197	531	4029
198	533	4024
199	536	4018
200	539	4019
201	541	4009
202	542	3999
203	545	3997
204	548	3999
205	550	3991
206	553	3986
207	556	3987
208	558	3979
209	558	3962
210	560	3954
211	562	3945
212	564	3939
213	566	3930
214	567	3920
215	569	3911
216	571	3901
217	573	3893
218	574	3884
219	576	3876
220	578	3869
221	580	3861
222	581	3850
223	583	3845
224	585	3835
225	586	3825
226	588	3814
227	589	3805
228	592	3805
229	595	3802
230	596	3793
231	598	3787
232	600	3777
233	602	3771
234	603	3762
235	605	3753
236	607	3750
237	609	3743
238	611	3737
239	614	3736
240	616	3730
241	618	3724
242	620	3720
243	623	3717
244	625	3710
245	627	3709
246	630	3708
247	634	3710
248	636	3708
249	638	3702
250	640	3695
251	642	3686
252	643	3677
253	644	3668
254	647	3665
255	648	3656
256	652	3660
257	654	3652
258	655	3644
259	657	3636
260	660	3637
261	662	3633
262	664	3627
263	666	3625
264	669	3620
265	672	3623
266	674	3615
267	675	3608
268	677	3600
269	678	3593
270	680	3586
271	682	3578
272	683	3572
273	686	3570
274	688	3565
275	690	3562
276	693	3558
277	696	3562
278	698	3557
279	701	3553
280	702	3547
281	705	3543
282	707	3539
283	710	3540
284	712	3537
285	714	3532
286	716	3526
287	718	3520
288	721	3519
289	723	3513
290	725	3508
291	726	3502
292	728	3495
293	729	3487
294	731	3479
295	733	3476
296	735	3469
297	736	3463
298	738	3457
299	739	3449
300	741	3442
301	742	3435
302	744	3429
303	746	3423
304	747	3417
305	749	3411
306	750	3404
307	752	3397
308	753	3390
309	755	3384
310	757	3381
311	759	3376
312	761	3370
313	762	3365
314	765	3361
315	766	3355
316	769	3353
317	770	3346
318	772	3340
319	773	3334
320	775	3329
321	776	3322
322	778	3317
323	780	3313
324	782	3306
325	783	3301
326	785	3295
327	786	3289
328	788	3282
329	789	3275
330	791	3270
331	793	3265
332	795	3261
333	797	3257
334	799	3253
335	800	3247
336	802	3245
337	804	3239
338	806	3236
339	809	3236
340	811	3233
341	813	3229
342	815	3225
343	817	3219
344	819	3216
345	821	3211
346	823	3206
347	824	3202
348	827	3202
349	829	3196
350	832	3195
351	834	3192
352	835	3186
353	837	3180
354	838	3174
355	841	3172
356	842	3166
357	843	3160
358	846	3158
359	848	3154
360	849	3149
361	850	3143
362	853	3142
363	855	3136
364	857	3133
365	859	3129
366	860	3124
367	862	3119
368	864	3114
369	866	3112
370	867	3106
371	869	3102
372	871	3098
373	873	3096
374	875	3091
375	878	3092
376	881	3092
377	884	3090
378	886	3086
379	888	3083
380	893	3090
381	896	3090
382	898	3087
383	900	3084
384	902	3080
385	904	3078
386	907	3077
387	910	3077
388	913	3076
389	915	3071
390	917	3067
391	919	3066
392	921	3063
393	923	3058
394	924	3053
395	926	3048
396	927	3042
397	930	3040
398	932	3039
399	934	3036
400	936	3031
401	938	3026
402	939	3021
403	941	3016
404	942	3011
405	944	3009
406	946	3005
407	948	3001
408	950	2997
409	951	2992
410	953	2987
411	955	2984
412	956	2978
413	958	2974
414	960	2971
415	962	2967
416	963	2963
417	965	2959
418	968	2957
419	969	2953
420	971	2949
421	973	2945
422	974	2940
423	976	2937
424	978	2933
425	980	2930
426	982	2925
427	983	2921
428	986	2920
429	988	2916
430	989	2912
431	992	2910
432	994	2906
433	996	2903
434	998	2900
435	999	2895
436	1001	2893
437	1003	2888
438	1005	2884
439	1006	2880
440	1010	2881
441	1011	2877
442	1013	2873
443	1015	2868
444	1016	2863
445	1018	2861
446	1019	2856
447	1021	2853
448	1023	2849
449	1025	2846
450	1027	2842
451	1028	2837
452	1029	2832
453	1031	2829
454	1033	2825
455	1034	2820
456	1037	2820
457	1039	2817
458	1041	2813
459	1043	2810
460	1045	2807
461	1047	2805
462	1049	2801
463	1051	2797
464	1053	2795
465	1054	2790
466	1056	2785
467	1059	2785
468	1061	2782
469	1066	2789
470	1071	2792
471	1074	2794
472	1076	2789
473	1078	2787
474	1082	2788
475	1087	2793
476	1090	2793
477	1093	2794
478	1095	2790
479	1098	2789
480	1100	2785
481	1101	2781
482	1104	2780
483	1106	2776
484	1108	2774
485	1111	2774
486	1113	2770
487	1114	2765
488	1116	2762
489	1117	2758
490	1119	2753
491	1121	2751
492	1124	2751
493	1127	2749
494	1129	2746
495	1130	2742
496	1132	2739
497	1135	2737
498	1137	2734
499	1139	2733
500	1142	2730
501	1144	2729
502	1146	2726
503	1148	2723
504	1150	2720
505	1152	2717
506	1155	2717
507	1158	2715
508	1161	2715
509	1164	2714
510	1166	2711
511	1168	2709
512	1170	2707
513	1174	2706
514	1177	2706
515	1178	2702
516	1181	2701
517	1183	2699
518	1185	2696
519	1187	2692
520	1188	2687
521	1191	2685
522	1195	2688
523	1198	2687
524	1200	2685
525	1203	2683
526	1206	2683
527	1208	2681
528	1211	2679
529	1213	2677
530	1216	2675
531	1218	2672
532	1220	2670
533	1222	2667
534	1225	2667
535	1228	2666
536	1233	2669
537	1237	2670
538	1243	2675
539	1246	2674
540	1252	2680
541	1257	2685
542	1260	2684
543	1274	2705
544	1282	2714
545	1290	2725
546	1296	2730
547	1300	2732
548	1303	2729
549	1305	2727
550	1307	2724
551	1311	2724
552	1313	2722
553	1316	2720
554	1317	2716
555	1319	2712
556	1322	2711
557	1324	2708
558	1326	2705
559	1328	2701
560	1331	2700
561	1334	2699
562	1336	2697
563	1343	2703
564	1345	2701
565	1347	2698
566	1350	2695
567	1351	2691
568	1354	2689
569	1356	2686
570	1360	2687
571	1365	2689
572	1371	2694
573	1379	2703
574	1382	2702
575	1387	2704
576	1394	2712
577	1399	2713
578	1404	2717
579	1409	2720
580	1418	2728
581	1423	2732
582	1426	2730
583	1432	2734
584	1451	2763
585	1454	2761
586	1457	2761
587	1463	2765
588	1470	2770
589	1487	2795
590	1499	2811
591	1504	2813
592	1507	2812
593	1513	2815
594	1518	2817
595	1524	2820
596	1529	2823
597	1545	2845
598	1550	2847
599	1555	2849
600	1558	2848
601	1561	2845
602	1565	2846
603	1568	2844
604	1575	2848
605	1580	2851
606	1584	2850
607	1587	2848
608	1591	2848
609	1595	2848
610	1598	2846
611	1600	2842
612	1603	2840
613	1606	2838
614	1609	2837
615	1613	2837
616	1616	2835
617	1621	2836
618	1625	2836
619	1627	2832
620	1631	2832
621	1637	2834
622	1640	2833
623	1643	2831
624	1645	2828
625	1649	2827
626	1654	2829
627	1657	2826
628	1662	2828
629	1672	2837
630	1680	2843
631	1684	2843
632	1687	2841
633	1690	2839
634	1693	2837
635	1699	2840
636	1703	2839
637	1709	2843
638	1713	2842
639	1716	2840
640	1722	2842
641	1728	2845
642	1734	2847
643	1738	2848
644	1746	2854
645	1749	2852
646	1753	2850
647	1756	2848
648	1759	2846
649	1763	2846
650	1766	2843
651	1770	2842
652	1773	2841
653	1776	2838
654	1779	2836
655	1784	2837
656	1787	2834
657	1790	2833
658	1795	2834
659	1798	2831
660	1801	2828
661	1804	2826
662	1807	2823
663	1809	2821
664	1812	2817
665	1816	2818
666	1819	2815
667	1823	2813
668	1826	2811
669	1829	2809
670	1832	2807
671	1835	2805
672	1838	2802
673	1841	2800
674	1844	2797
675	1848	2796
676	1852	2796
677	1855	2794
678	1858	2792
679	1864	2794
680	1871	2797
681	1880	2804
682	1885	2805
683	1894	2810
684	1900	2813
685	1907	2816
686	1910	2814
687	1914	2813
688	1917	2810
689	1920	2808
690	1924	2807
691	1929	2807
692	1933	2806
693	1935	2803
694	1939	2802
695	1943	2800
696	1947	2799
697	1951	2798
698	1957	2800
699	1961	2798
700	1965	2798
701	1967	2794
702	1970	2792
703	1975	2792
704	1979	2791
705	1982	2788
706	1985	2786
707	1988	2782
708	1991	2781
709	1994	2778
710	1999	2779
711	2006	2781
712	2012	2782
713	2015	2780
714	2017	2777
715	2021	2775
716	2026	2774
717	2028	2771
718	2031	2769
719	2035	2767
720	2038	2764
721	2040	2761
722	2043	2758
723	2046	2756
724	2049	2753
725	2051	2749
726	2054	2746
727	2059	2747
728	2061	2743
729	2065	2741
730	2068	2738
731	2072	2737
732	2079	2740
733	2089	2746
734	2097	2751
735	2102	2751
736	2109	2753
737	2113	2752
738	2117	2750
739	2121	2749
740	2127	2750
741	2132	2749
742	2135	2747
743	2140	2747
744	2144	2745
745	2147	2743
746	2149	2739
747	2154	2738
748	2158	2738
749	2163	2738
750	2167	2736
751	2173	2736
752	2178	2736
753	2183	2737
754	2188	2735
755	2193	2736
756	2197	2733
757	2199	2729
758	2202	2727
759	2205	2724
760	2209	2722
761	2212	2720
762	2216	2718
763	2218	2715
764	2222	2713
765	2225	2710
766	2229	2709
767	2233	2707
768	2237	2705
769	2240	2703
770	2243	2700
771	2246	2697
772	2248	2693
773	2252	2691
774	2256	2689
775	2258	2686
776	2264	2687
777	2269	2686
778	2278	2690
779	2282	2689
780	2289	2691
781	2293	2689
782	2299	2690
783	2305	2690
784	2310	2690
785	2315	2689
786	2326	2695
787	2330	2694
788	2335	2694
789	2339	2691
790	2341	2688
791	2344	2685
792	2348	2682
793	2352	2680
794	2354	2677
795	2358	2675
796	2361	2672
797	2365	2671
798	2368	2668
799	2373	2667
800	2376	2664
801	2379	2660
802	2382	2658
803	2386	2656
804	2392	2657
805	2394	2653
806	2397	2649
807	2401	2647
808	2404	2644
809	2407	2642
